code,group,name,qualification_index,income,cx,cy
E08000019,South Yorkshire,Sheffield,166,9529,36.41510274,33.35249661
E07000086,Hampshire,Eastleigh,100,2903,34.55339258,7.005417765
E07000207,Surrey,Elmbridge,12,5752,41.70498393,7.963822167
E09000022,London,Lambeth,10,9859,44.07338059,12.17821908
E06000042,Buckinghamshire,Milton Keynes,124,6108,36.92902011,18.31599315
E07000072,Essex,Epping Forest,192,4184,48.27798961,19.05264156
E07000208,Surrey,Epsom and Ewell,30,2242,42.69341901,8.282181498
E08000034,West Yorkshire,Kirklees,223,7570,36.12156859,37.2078389
E07000041,Devon,Exeter,59,2378,22.10335865,6.321969518
E07000087,Hampshire,Fareham,96,2602,35.31306346,6.305763553
W06000005,North Wales,Flintshire,201,2933,21.41437903,29.79025757
E09000021,London,Kingston upon Thames,14,4945,41.20865304,11.10015585
E07000080,Gloucestershire,Forest of Dean,210,1699,26.41537253,16.35631734
E07000215,Surrey,Tandridge,78,2636,44.45670936,8.018729178
E08000037,Tyne and Wear,Gateshead,249,3331,31.90759165,49.77028997
E07000222,Warwickshire,Warwick,24,3639,34.28507512,20.29710787
E07000173,Nottinghamshire,Gedling,163,2294,39.69495032,29.89250692
E09000026,London,Redbridge,80,7356,49.41457118,15.61960982
E09000017,London,Hillingdon,130,6907,38.17722475,14.84807453
E07000109,Kent,Gravesham,266,2258,49.62610267,9.354294362
E07000089,Hampshire,Hart,32,2839,36.21351923,8.601314444
E09000011,London,Greenwich,48,7113,48.23243957,12.783115
E07000209,Surrey,Guildford,20,4393,40.17903513,7.172034757
E06000013,Humberside,North Lincolnshire,292,2949,42.03836507,35.64409585
E09000012,London,Hackney,26,7666,46.16523178,15.21423786
E07000131,Leicestershire & Rutland,Harborough,64,2428,37.52949404,24.92876083
E09000014,London,Haringey,46,8360,45.54703607,16.41059193
E07000073,Essex,Harlow,295,1728,48.68338225,19.9217786
E07000039,Derbyshire,South Derbyshire,140,2203,33.84290023,27.82025677
E09000015,London,Harrow,62,7008,39.9551118,16.0397096
E07000176,Nottinghamshire,Rushcliffe,22,2868,39.70579957,28.31475044
E07000062,East Sussex,Hastings,245,1727,50.36138214,4.971911114
E06000035,Kent,Medway,261,5670,51.19965046,9.217539103
E07000090,Hampshire,Havant,254,2602,37.26844011,5.985387232
E09000016,London,Havering,233,6151,51.00729314,15.0178803
E06000019,Herefordshire,Herefordshire,167,4042,23.98783841,19.4262306
E07000098,Hertfordshire,Hertsmere,88,3363,42.24231936,18.14795873
E06000027,Devon,Torbay,263,2647,22.08234595,4.41894882
E07000037,Derbyshire,High Peak,95,1857,32.31980261,31.40100537
E09000027,London,Richmond upon Thames,3,8345,40.31939797,12.09794602
E07000132,Leicestershire & Rutland,Hinckley and Bosworth,203,2261,34.90606851,25.79160761
E09000025,London,Newham,141,7571,48.17325994,14.23598902
E07000227,West Sussex,Horsham,65,4044,41.52065302,5.472639878
E09000018,London,Hounslow,104,7200,39.18325337,12.72594139
W06000021,South Wales,Monmouthshire,76,2135,23.74317607,15.97699729
E07000011,Cambridgeshire,Huntingdonshire,134,3874,45.47825158,23.86549249
E07000202,Suffolk,Ipswich,277,2446,52.86757541,22.77368776
E06000053,Cornwall,Isles of Scilly,42,51,12.58901338,2.538901069
E09000019,London,Islington,11,8082,44.70981834,14.96483573
E07000235,Worcestershire,Malvern Hills,69,1889,27.02145314,18.79105749
E09000020,London,Kensington and Chelsea,5,13182,41.96506982,13.66875146
E07000146,Norfolk,King's Lynn and West Norfolk,309,2999,50.58495869,26.85064985
E07000217,Surrey,Woking,35,2940,40.37493525,7.713805191
E06000010,Humberside,Kingston upon Hull,319,4021,43.15561578,36.83975357
E06000039,Berkshire,Slough,195,2960,36.31335801,12.45521222
E07000141,Lincolnshire,South Kesteven,179,3098,44.1412052,29.9093622
E08000035,West Yorkshire,Leeds,137,15358,38.41703932,39.13640005
E08000024,Tyne and Wear,Sunderland,291,4571,33.9186544,48.7135451
E06000016,Leicestershire & Rutland,Leicester,310,5296,36.4971416,25.98835049
E07000181,Oxfordshire,West Oxfordshire,67,3083,30.86492261,16.78906787
E07000063,East Sussex,Lewes,126,2446,47.61904456,5.276005668
E07000194,Staffordshire,Lichfield,146,2475,29.48028019,27.06051604
E06000032,Bedfordshire,Luton,270,3847,40.70196719,20.49531966
E07000138,Lincolnshire,Lincoln,183,1597,44.33781569,31.89650259
E07000240,Hertfordshire,St Albans,9,4893,42.06390438,19.2105656
E07000110,Kent,Maidstone,193,4003,50.86648675,7.982115959
E07000093,Hampshire,Test Valley,92,3250,33.63661468,7.873181078
E07000074,Essex,Maldon,262,1588,51.36261192,19.16631233
E07000174,Nottinghamshire,Mansfield,314,1905,39.38016579,30.89792883
E07000065,East Sussex,Wealden,129,4207,48.19312824,5.861372104
E06000033,Essex,Southend-on-Sea,257,3937,52.56335395,17.73798158
E07000133,Leicestershire & Rutland,Melton,152,1126,37.86365923,26.31151234
E09000024,London,Merton,21,6788,42.70173607,10.9773679
E07000042,Devon,Mid Devon,174,1730,21.70890612,6.85191828
E06000024,West of England,North Somerset,108,4956,24.66277036,11.06201053
E07000203,Suffolk,Mid Suffolk,189,2246,52.83781983,23.5833919
E07000228,West Sussex,Mid Sussex,47,4029,43.29694679,5.642153273
E06000002,Teesside,Middlesbrough,282,2315,37.52329283,43.44932544
E07000210,Surrey,Mole Valley,36,2907,42.1798968,7.286701472
E09000028,London,Southwark,13,9390,45.39598536,12.64625081
E07000245,Suffolk,West Suffolk,248,3623,51.55349892,23.57056418
W06000012,South Wales,Neath Port Talbot,281,2404,18.83532431,15.66652924
E07000114,Kent,Thanet,276,2821,55.07398669,8.530827497
E08000023,Tyne and Wear,South Tyneside,247,2484,33.88856415,49.82188842
E07000175,Nottinghamshire,Newark and Sherwood,215,2562,40.45769054,29.97379197
E08000021,Tyne and Wear,Newcastle upon Tyne,117,5190,31.91304858,50.90521037
E07000211,Surrey,Reigate and Banstead,52,4269,43.56336935,7.952063873
E06000030,Wiltshire,Swindon,227,4572,29.98836407,12.03639385
W06000022,South Wales,Newport,229,2745,23.44359895,14.89999781
E06000041,Berkshire,Wokingham,16,4863,34.65271639,11.70946753
E06000012,Humberside,North East Lincolnshire,320,2719,43.72824145,35.0400728
E07000099,Hertfordshire,North Hertfordshire,49,3395,43.74116103,20.90317828
E07000147,Norfolk,North Norfolk,267,2128,52.38411897,27.52107629
E06000061,Northamptonshire,North Northamptonshire,260,7070,40.33758733,24.43632492
E07000064,East Sussex,Rother,216,2194,49.46320268,5.093829723
E08000029,West Midlands,Solihull,139,4975,31.06133725,22.18479163
E07000218,Warwickshire,North Warwickshire,288,1279,34.33787581,23.38840165
E06000045,Hampshire,Southampton,149,4453,33.50598535,6.62809164
E07000134,Leicestershire & Rutland,North West Leicestershire,190,2109,35.57518723,27.15721521
E07000111,Kent,Sevenoaks,99,3838,48.71784645,8.28915123
E07000198,Staffordshire,Staffordshire Moorlands,224,1892,28.91344652,29.68777128
W06000020,South Wales,Torfaen,271,1554,23.04739841,15.90713706
E06000018,Nottinghamshire,Nottingham,188,4753,38.75541679,28.72683228
E07000219,Warwickshire,Nuneaton and Bedworth,297,2380,34.900879,22.31654802
E07000135,Leicestershire & Rutland,Oadby and Wigston,172,1105,37.14529697,25.06781354
E06000037,Berkshire,West Berkshire,86,4323,32.41081966,11.83740101
E07000092,Hampshire,Rushmoor,212,2013,36.85132194,8.708632673
E06000031,Cambridgeshire,Peterborough,293,3840,45.6565964,24.76161118
E06000044,Hampshire,Portsmouth,168,3820,36.46111719,5.815705695
E07000229,West Sussex,Worthing,161,2419,41.64188976,4.637401146
E06000038,Berkshire,Reading,70,3786,33.60239473,11.97011553
E06000054,Wiltshire,Wiltshire,105,11660,29.4471753,10.22669869
E07000236,Worcestershire,Redditch,272,1706,29.01398763,19.14095357
E07000044,Devon,South Hams,45,2207,21.07705565,4.098467315
E07000075,Essex,Rochford,279,1965,51.97029628,18.57679666
E08000018,South Yorkshire,Rotherham,304,4519,38.12110048,33.72288064
E06000004,Teesside,Stockton-on-Tees,196,3501,36.41917393,43.81431654
E06000017,Leicestershire & Rutland,Rutland,60,1054,38.17852802,25.61028057
E08000028,West Midlands,Sandwell,329,4974,27.78260701,23.8166554
E07000045,Devon,Teignbridge,132,2898,21.41933255,5.299579288
E07000102,Hertfordshire,Three Rivers,40,2813,39.95561228,17.79699625
E09000031,London,Waltham Forest,85,6768,47.68321375,16.209509
E07000216,Surrey,Waverley,19,4376,39.65814493,6.625751211
E07000012,Cambridgeshire,South Cambridgeshire,18,4454,45.80208764,22.58510886
E06000025,West of England,South Gloucestershire,103,6345,27.17319923,12.74891879
E07000140,Lincolnshire,South Holland,324,1774,45.02947329,29.65132797
E07000179,Oxfordshire,South Oxfordshire,33,4392,31.98173942,15.26799566
E07000196,Staffordshire,South Staffordshire,213,2443,27.25611564,26.79343881
E07000213,Surrey,Spelthorne,160,2588,41.16301808,8.558766937
E07000197,Staffordshire,Stafford,110,2861,28.1087729,27.96952663
E09000029,London,Sutton,74,5008,42.85859015,10.02107357
E07000243,Hertfordshire,Stevenage,207,1759,43.36587639,19.77932935
E06000021,Staffordshire,Stoke-on-Trent,322,3960,28.00423888,29.5004939
E07000221,Warwickshire,Stratford-on-Avon,63,3744,33.86787992,19.59921052
E06000014,North Yorkshire,York,39,4219,41.62437161,40.49950981
E07000082,Gloucestershire,Stroud,58,2891,27.34169587,15.28767255
E07000214,Surrey,Surrey Heath,57,2618,39.54676751,8.349759968
W06000014,South Wales,Vale of Glamorgan,91,2830,19.85380042,13.75901975
W06000011,South Wales,Swansea,155,4186,17.04311272,15.93598322
E07000199,Staffordshire,Tamworth,307,1386,30.33876226,26.72921237
E07000238,Worcestershire,Wychavon,165,3081,28.48880602,18.69874796
E07000076,Essex,Tendring,327,2994,53.40479489,20.11836901
E07000077,Essex,Uttlesford,84,2534,49.65151688,20.37106513
E08000036,West Yorkshire,Wakefield,305,6389,38.74633526,37.3280256
E08000030,West Midlands,Walsall,323,4564,28.17505986,25.20877899
E07000142,Lincolnshire,West Lindsey,197,1957,44.38770116,32.67586747
E06000062,Northamptonshire,West Northamptonshire,177,9175,38.42177213,22.95072217
W06000006,North Wales,Wrexham,235,2400,21.25304745,28.59452119
