code,name,qualification_index,income,cx,cy,,,,,,,
E07000202,Ipswich,277,"2,446",52.86757541,22.77368776,,,,,,,
W06000001,Isle of Anglesey,154,"1,263",16.88740126,30.56778252,,,,,,,
E06000046,Isle of Wight,221,"2,758",33.64050311,4.724962404,,,,,,,
E06000053,Isles of Scilly,42,51,12.58901338,2.538901069,,,,,,,
E09000019,Islington,11,"8,082",44.70981834,14.96483573,,,,,,,
E09000020,Kensington and Chelsea,5,"13,182",41.96506982,13.66875146,,,,,,,
E07000146,King's Lynn and West Norfolk,309,"2,999",50.58495869,26.85064985,,,,,,,
E06000010,Kingston upon Hull,319,"4,021",43.15561578,36.83975357,,,,,,,
E09000021,Kingston upon Thames,14,"4,945",41.20865304,11.10015585,,,,,,,
E08000034,Kirklees,223,"7,570",36.12156859,37.2078389,,,,,,,
E09000022,Lambeth,10,"9,859",44.07338059,12.17821908,,,,,,,
E08000035,Leeds,137,"15,358",38.41703932,39.13640005,,,,,,,
E06000016,Leicester,310,"5,296",36.4971416,25.98835049,,,,,,,
E07000063,Lewes,126,"2,446",47.61904456,5.276005668,,,,,,,
E09000023,Lewisham,25,"7,724",46.89347005,11.98365777,,,,,,,
E07000194,Lichfield,146,"2,475",29.48028019,27.06051604,,,,,,,
E07000138,Lincoln,183,"1,597",44.33781569,31.89650259,,,,,,,
E06000032,Luton,270,"3,847",40.70196719,20.49531966,,,,,,,
E07000110,Maidstone,193,"4,003",50.86648675,7.982115959,,,,,,,
E07000074,Maldon,262,"1,588",51.36261192,19.16631233,,,,,,,
E07000235,Malvern Hills,69,"1,889",27.02145314,18.79105749,,,,,,,
E07000174,Mansfield,314,"1,905",39.38016579,30.89792883,,,,,,,
E06000035,Medway,261,"5,670",51.19965046,9.217539103,,,,,,,
E07000133,Melton,152,"1,126",37.86365923,26.31151234,,,,,,,
W06000024,Merthyr Tydfil,316,944,20.60273991,16.23395207,,,,,,,
E09000024,Merton,21,"6,788",42.70173607,10.9773679,,,,,,,
E07000042,Mid Devon,174,"1,730",21.70890612,6.85191828,,,,,,,
E07000203,Mid Suffolk,189,"2,246",52.83781983,23.5833919,,,,,,,
E07000228,Mid Sussex,47,"4,029",43.29694679,5.642153273,,,,,,,
E06000002,Middlesbrough,282,"2,315",37.52329283,43.44932544,,,,,,,
E06000042,Milton Keynes,124,"6,108",36.92902011,18.31599315,,,,,,,
E07000210,Mole Valley,36,"2,907",42.1798968,7.286701472,,,,,,,
W06000021,Monmouthshire,76,"2,135",23.74317607,15.97699729,,,,,,,
W06000012,Neath Port Talbot,281,"2,404",18.83532431,15.66652924,,,,,,,
E07000091,New Forest,151,"4,396",32.16944865,6.270218328,,,,,,,
E07000175,Newark and Sherwood,215,"2,562",40.45769054,29.97379197,,,,,,,
E08000021,Newcastle upon Tyne,117,"5,190",31.91304858,50.90521037,,,,,,,
E07000195,Newcastle-under-Lyme,220,"2,349",27.15679684,29.0386084,,,,,,,
E09000025,Newham,141,"7,571",48.17325994,14.23598902,,,,,,,
W06000022,Newport,229,"2,745",23.44359895,14.89999781,,,,,,,
E07000043,North Devon,206,"2,018",20.95061382,7.670152495,,,,,,,
E07000038,North East Derbyshire,234,"1,981",33.47548161,31.22622569,,,,,,,
E06000012,North East Lincolnshire,320,"2,719",43.72824145,35.0400728,,,,,,,
E07000099,North Hertfordshire,49,"3,395",43.74116103,20.90317828,,,,,,,
E07000139,North Kesteven,156,"2,304",44.41014112,30.96855407,,,,,,,
E06000013,North Lincolnshire,292,"2,949",42.03836507,35.64409585,,,,,,,
E07000147,North Norfolk,267,"2,128",52.38411897,27.52107629,,,,,,,
E06000061,North Northamptonshire,260,"7,070",40.33758733,24.43632492,,,,,,,
E06000024,North Somerset,108,"4,956",24.66277036,11.06201053,,,,,,,
E08000022,North Tyneside,150,"3,835",33.37846578,51.38191377,,,,,,,
E07000218,North Warwickshire,288,"1,279",34.33787581,23.38840165,,,,,,,
E07000134,North West Leicestershire,190,"2,109",35.57518723,27.15721521,,,,,,,
E06000057,Northumberland,178,"6,526",32.20329774,53.71938161,,,,,,,
E07000148,Norwich,120,"2,455",52.47919835,26.41117736,,,,,,,
E06000018,Nottingham,188,"4,753",38.75541679,28.72683228,,,,,,,
E07000219,Nuneaton and Bedworth,297,"2,380",34.900879,22.31654802,,,,,,,
E07000135,Oadby and Wigston,172,"1,105",37.14529697,25.06781354,,,,,,,
E07000178,Oxford,15,"3,498",31.46426736,16.07556185,,,,,,,
W06000009,Pembrokeshire,187,"2,273",14.26735666,18.4911724,,,,,,,
E06000031,Peterborough,293,"3,840",45.6565964,24.76161118,,,,,,,
E06000026,Plymouth,182,"4,679",20.07407545,4.804533323,,,,,,,
E06000044,Portsmouth,168,"3,820",36.46111719,5.815705695,,,,,,,
W06000023,Powys,180,"2,550",20.46321021,21.89457221,,,,,,,
E06000038,Reading,70,"3,786",33.60239473,11.97011553,,,,,,,
E09000026,Redbridge,80,"7,356",49.41457118,15.61960982,,,,,,,
E06000003,Redcar and Cleveland,268,"2,292",38.80289009,43.46459308,,,,,,,
E07000236,Redditch,272,"1,706",29.01398763,19.14095357,,,,,,,
E07000211,Reigate and Banstead,52,"4,269",43.56336935,7.952063873,,,,,,,
W06000016,Rhondda Cynon Taf,287,"3,952",20.22245972,15.34085889,,,,,,,
E09000027,Richmond upon Thames,3,"8,345",40.31939797,12.09794602,,,,,,,
E07000075,Rochford,279,"1,965",51.97029628,18.57679666,,,,,,,
E07000064,Rother,216,"2,194",49.46320268,5.093829723,,,,,,,
E08000018,Rotherham,304,"4,519",38.12110048,33.72288064,,,,,,,
E07000220,Rugby,111,"2,350",35.19213917,21.08432096,,,,,,,
E07000212,Runnymede,83,"2,403",40.42037086,8.728417834,,,,,,,
E07000176,Rushcliffe,22,"2,868",39.70579957,28.31475044,,,,,,,
E07000092,Rushmoor,212,"2,013",36.85132194,8.708632673,,,,,,,
E06000017,Rutland,60,"1,054",38.17852802,25.61028057,,,,,,,
E08000028,Sandwell,329,"4,974",27.78260701,23.8166554,,,,,,,
E07000111,Sevenoaks,99,"3,838",48.71784645,8.28915123,,,,,,,
E08000019,Sheffield,166,"9,529",36.41510274,33.35249661,,,,,,,
E06000051,Shropshire,148,"6,633",23.38804914,26.08840465,,,,,,,
E06000039,Slough,195,"2,960",36.31335801,12.45521222,,,,,,,
E08000029,Solihull,139,"4,975",31.06133725,22.18479163,,,,,,,
E07000012,South Cambridgeshire,18,"4,454",45.80208764,22.58510886,,,,,,,
